Date,PG,^GSPC
01/04/2010,61.119999,1132.98999
01/05/2010,61.139999,1136.52002
01/06/2010,60.849998,1137.140015
01/07/2010,60.52,1141.689941
01/08/2010,60.439999,1144.97998
01/11/2010,60.200001,1146.97998
01/12/2010,60.889999,1136.219971
01/13/2010,61.52,1145.680054
01/14/2010,61.580002,1148.459961
01/15/2010,60.82,1136.030029
01/19/2010,61.720001,1150.22998
01/20/2010,60.450001,1138.040039
01/21/2010,59.84,1116.47998
01/22/2010,60.310001,1091.76001
01/25/2010,60.630001,1096.780029
01/26/2010,60.689999,1092.170044
01/27/2010,60.810001,1097.5
01/28/2010,61.68,1084.530029
01/29/2010,61.549999,1073.869995
02/01/2010,61.990002,1089.189941
02/02/2010,62.900002,1103.319946
02/03/2010,62.650002,1097.280029
02/04/2010,61.400002,1063.109985
02/05/2010,61.299999,1066.189941
02/08/2010,61.009998,1056.73999
02/09/2010,61.759998,1070.52002
02/10/2010,61.669998,1068.130005
02/11/2010,61.959999,1078.469971
02/12/2010,61.759998,1075.51001
02/16/2010,62.830002,1094.869995
02/17/2010,62.849998,1099.51001
02/18/2010,63.389999,1106.75
02/19/2010,63.450001,1109.170044
02/22/2010,63.419998,1108.01001
02/23/2010,63.209999,1094.599976
02/24/2010,63.889999,1105.23999
02/25/2010,63.700001,1102.939941
02/26/2010,63.279999,1104.48999
03/01/2010,63.509998,1115.709961
03/02/2010,63.709999,1118.310059
03/03/2010,63.549999,1118.790039
03/04/2010,63.669998,1122.969971
03/05/2010,63.689999,1138.699951
03/08/2010,63.189999,1138.5
03/09/2010,63.299999,1140.449951
03/10/2010,63.009998,1145.609985
03/11/2010,63.169998,1150.23999
03/12/2010,63.32,1149.98999
03/15/2010,63.700001,1150.51001
03/16/2010,63.529999,1159.459961
03/17/2010,64.010002,1166.209961
03/18/2010,63.73,1165.829956
03/19/2010,63.84,1159.900024
03/22/2010,63.880001,1165.810059
03/23/2010,64.529999,1174.170044
03/24/2010,63.610001,1167.719971
03/25/2010,63.619999,1165.72998
03/26/2010,63.689999,1166.589966
03/29/2010,63.73,1173.219971
03/30/2010,63.66,1173.27002
03/31/2010,63.27,1169.430054
04/01/2010,63.360001,1178.099976
04/05/2010,63.759998,1187.439941
04/06/2010,63.110001,1189.439941
04/07/2010,62.5,1182.449951
04/08/2010,62.560001,1186.439941
04/09/2010,62.73,1194.369995
04/12/2010,62.700001,1196.47998
04/13/2010,63,1197.300049
04/14/2010,63.189999,1210.650024
04/15/2010,63,1211.670044
04/16/2010,62.849998,1192.130005
04/19/2010,63.220001,1197.52002
04/20/2010,63.189999,1207.170044
04/21/2010,63.630001,1205.939941
04/22/2010,63.59,1208.670044
04/23/2010,63.540001,1217.280029
04/26/2010,63.939999,1212.050049
04/27/2010,63.110001,1183.709961
04/28/2010,63.169998,1191.359985
04/29/2010,62.200001,1206.780029
04/30/2010,62.16,1186.689941
05/03/2010,62.68,1202.26001
05/04/2010,61.709999,1173.599976
05/05/2010,62.16,1165.869995
05/06/2010,60.75,1128.150024
05/07/2010,60.310001,1110.880005
05/10/2010,62.419998,1159.72998
05/11/2010,62.369999,1155.790039
05/12/2010,63.02,1171.670044
05/13/2010,62.75,1157.439941
05/14/2010,62.540001,1135.680054
05/17/2010,63.380001,1136.939941
05/18/2010,63.209999,1120.800049
05/19/2010,63.220001,1115.050049
05/20/2010,61.610001,1071.589966
05/21/2010,61.849998,1087.689941
05/24/2010,61.400002,1073.650024
05/25/2010,61.049999,1074.030029
05/26/2010,60.439999,1067.949951
05/27/2010,60.950001,1103.060059
05/28/2010,61.09,1089.410034
06/01/2010,61.16,1070.709961
06/02/2010,61.740002,1098.380005
06/03/2010,61.799999,1102.829956
06/04/2010,60.799999,1064.880005
06/07/2010,60.619999,1050.469971
06/08/2010,62.139999,1062
06/09/2010,61.470001,1055.689941
06/10/2010,61.91,1086.839966
06/11/2010,61.009998,1091.599976
06/14/2010,61.25,1089.630005
06/15/2010,61.91,1115.22998
06/16/2010,61.189999,1114.609985
06/17/2010,61.759998,1116.040039
06/18/2010,61.299999,1117.51001
06/21/2010,61.099998,1113.199951
06/22/2010,60.720001,1095.310059
06/23/2010,61.380001,1092.040039
06/24/2010,60.869999,1073.689941
06/25/2010,59.790001,1076.76001
06/28/2010,60.619999,1074.569946
06/29/2010,60.32,1041.23999
06/30/2010,59.98,1030.709961
07/01/2010,59.540001,1027.369995
07/02/2010,59.380001,1022.580017
07/06/2010,59.34,1028.060059
07/07/2010,60.82,1060.27002
07/08/2010,61.950001,1070.25
07/09/2010,61.75,1077.959961
07/12/2010,62.09,1078.75
07/13/2010,62.389999,1095.339966
07/14/2010,62.66,1095.170044
07/15/2010,62.73,1096.47998
07/16/2010,61.990002,1064.880005
07/19/2010,61.860001,1071.25
07/20/2010,62.07,1083.47998
07/21/2010,61.110001,1069.589966
07/22/2010,61.369999,1093.670044
07/23/2010,61.91,1102.660034
07/26/2010,62.52,1115.01001
07/27/2010,63.080002,1113.839966
07/28/2010,62.700001,1106.130005
07/29/2010,61.669998,1101.530029
07/30/2010,61.16,1101.599976
08/02/2010,62.060001,1125.859985
08/03/2010,59.939999,1120.459961
08/04/2010,59.549999,1127.23999
08/05/2010,59.860001,1125.810059
08/06/2010,60.02,1121.640015
08/09/2010,60.380001,1127.790039
08/10/2010,60.779999,1121.060059
08/11/2010,60.27,1089.469971
08/12/2010,59.990002,1083.609985
08/13/2010,59.82,1079.25
08/16/2010,59.77,1079.380005
08/17/2010,60.290001,1092.540039
08/18/2010,60.75,1094.160034
08/19/2010,60.189999,1075.630005
08/20/2010,59.98,1071.689941
08/23/2010,60.029999,1067.359985
08/24/2010,59.66,1051.869995
08/25/2010,59.669998,1055.329956
08/26/2010,59.540001,1047.219971
08/27/2010,59.799999,1064.589966
08/30/2010,59.369999,1048.920044
08/31/2010,59.669998,1049.329956
09/01/2010,59.799999,1080.290039
09/02/2010,60.07,1090.099976
09/03/2010,60.290001,1104.51001
09/07/2010,60.139999,1091.839966
09/08/2010,60.369999,1098.869995
09/09/2010,60.290001,1104.180054
09/10/2010,60.400002,1109.550049
09/13/2010,60.48,1121.900024
09/14/2010,60.639999,1121.099976
09/15/2010,61.110001,1125.069946
09/16/2010,61.110001,1124.660034
09/17/2010,60.970001,1125.589966
09/20/2010,61.43,1142.709961
09/21/2010,61.52,1139.780029
